CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 9 is empty
cpus=10
      lazy_alloc-31612 [004] 34326.485459: funcgraph_entry:      + 12.778 us  |  mutex_unlock();
      lazy_alloc-31612 [004] 34326.485494: funcgraph_entry:                   |  handle_mm_fault() {
      lazy_alloc-31612 [004] 34326.485494: funcgraph_entry:                   |    __handle_mm_fault() {
      lazy_alloc-31612 [004] 34326.485494: funcgraph_entry:                   |      __pud_alloc() {
      lazy_alloc-31612 [004] 34326.485494: funcgraph_entry:                   |        alloc_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485494: funcgraph_entry:                   |          alloc_pages_mpol() {
      lazy_alloc-31612 [004] 34326.485494: funcgraph_entry:        0.140 us   |            policy_nodemask();
      lazy_alloc-31612 [004] 34326.485495: funcgraph_entry:                   |            __alloc_frozen_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485495: funcgraph_entry:        0.101 us   |              __next_zones_zonelist();
      lazy_alloc-31612 [004] 34326.485495: funcgraph_entry:                   |              get_page_from_freelist() {
      lazy_alloc-31612 [004] 34326.485495: funcgraph_entry:        0.093 us   |                _raw_spin_trylock();
      lazy_alloc-31612 [004] 34326.485495: funcgraph_entry:        0.090 us   |                _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485496: funcgraph_exit:         0.888 us   |              }
      lazy_alloc-31612 [004] 34326.485496: funcgraph_entry:        0.087 us   |              __memcg_kmem_charge_page();
      lazy_alloc-31612 [004] 34326.485496: funcgraph_exit:         1.714 us   |            }
      lazy_alloc-31612 [004] 34326.485496: funcgraph_exit:         2.186 us   |          }
      lazy_alloc-31612 [004] 34326.485497: funcgraph_exit:         2.399 us   |        }
      lazy_alloc-31612 [004] 34326.485497: funcgraph_entry:                   |        __lruvec_stat_mod_folio() {
      lazy_alloc-31612 [004] 34326.485497: funcgraph_entry:        0.089 us   |          __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485497: funcgraph_entry:        0.081 us   |          __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485497: funcgraph_entry:        0.083 us   |          __mod_node_page_state();
      lazy_alloc-31612 [004] 34326.485497: funcgraph_exit:         0.637 us   |        }
      lazy_alloc-31612 [004] 34326.485497: funcgraph_entry:        0.088 us   |        _raw_spin_lock();
      lazy_alloc-31612 [004] 34326.485498: funcgraph_entry:        0.089 us   |        _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485498: funcgraph_exit:         3.754 us   |      }
      lazy_alloc-31612 [004] 34326.485498: funcgraph_entry:                   |      __pmd_alloc() {
      lazy_alloc-31612 [004] 34326.485498: funcgraph_entry:                   |        alloc_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485498: funcgraph_entry:                   |          alloc_pages_mpol() {
      lazy_alloc-31612 [004] 34326.485498: funcgraph_entry:        0.083 us   |            policy_nodemask();
      lazy_alloc-31612 [004] 34326.485498: funcgraph_entry:                   |            __alloc_frozen_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485499: funcgraph_entry:        0.083 us   |              __next_zones_zonelist();
      lazy_alloc-31612 [004] 34326.485499: funcgraph_entry:                   |              get_page_from_freelist() {
      lazy_alloc-31612 [004] 34326.485499: funcgraph_entry:        0.085 us   |                _raw_spin_trylock();
      lazy_alloc-31612 [004] 34326.485499: funcgraph_entry:        0.205 us   |                _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485500: funcgraph_exit:         0.735 us   |              }
      lazy_alloc-31612 [004] 34326.485500: funcgraph_entry:        0.083 us   |              __memcg_kmem_charge_page();
      lazy_alloc-31612 [004] 34326.485500: funcgraph_exit:         1.618 us   |            }
